time, pressure1, pressure2, pressure3, pressure4, pressure5, button, forceSensor
2020-11-03T15:37:48.0170,1210.5358,1064.3723,1125.6105,1237.8867,1197.6814,0,784.0
2020-11-03T15:37:48.0186,1210.7716,1064.3723,1125.6105,1237.8867,1197.7208,0,784.0
2020-11-03T15:37:48.0203,1210.7716,1064.3729,1125.6105,1237.8867,1197.7208,0,784.0
2020-11-03T15:37:48.0220,1210.7716,1064.3729,1125.5192,1237.8016,1197.7208,0,788.0
2020-11-03T15:37:48.0235,1211.004,1064.4172,1125.5192,1237.8016,1197.7008,0,788.0
2020-11-03T15:37:48.0253,1211.004,1064.4172,1125.4529,1237.7812,1197.7008,0,790.0
2020-11-03T15:37:48.0270,1211.1042,1064.3685,1125.4529,1237.7812,1197.75,0,793.0
2020-11-03T15:37:48.0287,1211.1042,1064.3685,1125.5166,1237.7812,1197.75,0,793.0
2020-11-03T15:37:48.0304,1211.1042,1064.3685,1125.5166,1237.7998,1197.7632,0,791.0
2020-11-03T15:37:48.0319,1211.1874,1064.3552,1125.6051,1237.7998,1197.7632,0,791.0
2020-11-03T15:37:48.0335,1211.1874,1064.3552,1125.6051,1237.7328,1197.7632,0,791.0
2020-11-03T15:37:48.0353,1210.9835,1064.3959,1125.6051,1237.7328,1197.8738,0,783.0
2020-11-03T15:37:48.0370,1210.9835,1064.3959,1125.4963,1237.8083,1197.8738,0,782.0
2020-11-03T15:37:48.0386,1210.8055,1064.3641,1125.4963,1237.8083,1197.7678,0,782.0
2020-11-03T15:37:48.0402,1210.8055,1064.3641,1125.6543,1237.8083,1197.7678,0,784.0
2020-11-03T15:37:48.0419,1210.8055,1064.3641,1125.6543,1237.8663,1197.825,0,784.0
2020-11-03T15:37:48.0437,1210.6848,1064.4155,1125.5706,1237.8663,1197.825,0,764.0
2020-11-03T15:37:48.0454,1210.6848,1064.4155,1125.5706,1237.766,1197.7599,0,763.0
2020-11-03T15:37:48.0469,1210.317,1064.3978,1125.6405,1237.766,1197.7599,0,751.0
2020-11-03T15:37:48.0487,1210.317,1064.3978,1125.6405,1237.766,1197.7389,0,751.0
2020-11-03T15:37:48.0502,1210.208,1064.3978,1125.6405,1237.7915,1197.7389,0,749.0
