time, pressure1, pressure2, pressure3, pressure4, pressure5, button, forceSensor
2020-10-14T15:28:21.0460,1218.9149,1487.9994,1327.2562,1440.3838,1477.0107,0,541.0
2020-10-14T15:28:21.0477,1218.9149,1488.1288,1327.2562,1440.3838,1477.0107,0,551.0
2020-10-14T15:28:21.0494,1219.407,1488.1288,1327.1372,1440.3838,1477.051,0,551.0
2020-10-14T15:28:21.0511,1219.407,1488.0397,1327.1372,1433.566,1477.051,0,546.0
2020-10-14T15:28:21.0528,1219.4194,1488.0397,1327.1207,1433.566,1477.051,0,554.0
2020-10-14T15:28:21.0544,1219.4194,1488.0397,1327.1207,1440.2948,1476.7242,0,554.0
2020-10-14T15:28:21.0561,1219.4194,1487.9624,1327.1447,1440.2948,1476.7242,0,557.0
2020-10-14T15:28:21.0577,1219.7328,1487.9624,1327.1447,1440.2948,1477.1638,0,553.0
2020-10-14T15:28:21.0594,1219.7328,1487.9922,1326.9977,1440.3214,1477.1638,0,553.0
2020-10-14T15:28:21.0610,1220.0029,1487.9922,1326.9977,1440.3214,1477.1633,0,556.0
2020-10-14T15:28:21.0627,1220.0029,1487.9922,1326.9977,1440.3842,1477.1633,0,548.0
2020-10-14T15:28:21.0645,1220.0029,1487.9357,1327.2383,1440.3842,1476.9922,0,549.0
2020-10-14T15:28:21.0660,1219.5946,1487.9357,1327.2383,1440.3262,1476.9922,0,549.0
2020-10-14T15:28:21.0678,1219.5946,1488.0508,1327.0203,1440.3262,1476.9922,0,550.0
2020-10-14T15:28:21.0694,1220.1495,1488.0508,1327.0203,1440.3262,1477.0968,0,543.0
2020-10-14T15:28:21.0711,1220.1495,1488.0428,1326.9817,1440.3419,1477.0968,0,543.0
2020-10-14T15:28:21.0726,1220.1934,1488.0428,1326.9817,1440.3419,1477.0526,0,551.0
2020-10-14T15:28:21.0744,1220.1934,1488.0428,1326.9817,1440.3782,1477.0526,0,546.0
2020-10-14T15:28:21.0761,1220.1934,1487.9961,1326.9817,1440.3782,1477.0513,0,546.0
2020-10-14T15:28:21.0778,1220.1383,1487.9961,1326.9817,1440.3782,1477.0513,0,548.0
2020-10-14T15:28:21.0794,1220.1383,1487.9799,1327.2579,1440.5199,1477.0513,0,554.0
2020-10-14T15:28:21.0811,1220.2988,1487.9799,1327.2579,1440.5199,1477.1094,0,554.0
2020-10-14T15:28:21.0827,1220.2988,1487.9799,1327.129,1440.3868,1477.1094,0,537.0
2020-10-14T15:28:21.0844,1220.2988,1490.7853,1327.129,1440.3868,1476.9642,0,548.0
2020-10-14T15:28:21.0860,1218.6005,1490.7853,1326.974,1440.3868,1476.9642,0,548.0
2020-10-14T15:28:21.0876,1218.6005,1487.9331,1326.974,1440.375,1477.0033,0,551.0
2020-10-14T15:28:21.0894,1220.3271,1487.9331,1327.063,1440.375,1477.0033,0,549.0
2020-10-14T15:28:21.0911,1220.3271,1488.0021,1327.063,1440.3497,1477.0398,0,549.0
2020-10-14T15:28:21.0927,1220.2073,1488.0021,1327.063,1440.3497,1477.0398,0,538.0
2020-10-14T15:28:21.0943,1220.2073,1488.0021,1327.1011,1440.4275,1477.0398,0,548.0
2020-10-14T15:28:21.0960,1220.2073,1487.9589,1327.1011,1440.4275,1476.7185,0,548.0
2020-10-14T15:28:21.0976,1220.273,1487.9589,1327.0985,1440.4275,1476.7185,0,548.0
2020-10-14T15:28:21.0993,1220.273,1487.9828,1327.0985,1440.4031,1477.0664,0,553.0
